Time(ms),AcX,AcY,AcZ,TotalAccel
0,-9912,12208,-6188,16898.945
50,-12328,25896,-2968,28833.86
100,32767,-32768,-25700,52989.7
150,13668,-24096,-24432,36937.164
200,-17672,11804,-11964,24387.934
250,-6644,-9000,-13500,17532.62
300,3620,-11780,-13324,18149.43
350,-552,-8512,-13964,16363.134
400,-504,-6832,-13112,14793.741
450,7224,-10448,-14784,19491.371
500,12184,-20592,-21172,31948.926
550,8024,-17668,-18364,26716.648
600,1388,-8256,-13328,15739.239
650,-624,-3172,-11204,11661.071
700,-3864,-1444,-9896,10721.309
750,-5252,-2500,-10980,12425.534
800,-4888,-3296,-11192,12649.783
850,-10612,1140,-7020,12774.762
900,-9728,32767,5928,34690.797
950,4936,-32768,-32768,46603.086
1000,-19300,-9804,-26188,33976.754
1050,-20448,5760,-9736,23368.525
1100,-1728,-8192,-14948,17132.938
1150,1864,-8832,-15012,17516.816
1200,-1364,-4996,-13200,14179.581
1250,132,-2772,-12316,12624.788
1300,15628,-21116,-21344,33847.984
1350,13928,-10764,-19204,26050.844
1400,5644,-12776,-18112,22871.936
1450,-500,-5600,-13892,14986.583
1500,-2388,-276,-11624,11869.966
1550,-4820,672,-9440,10620.621
1600,-4976,-1360,-9876,11142.0625
1650,-8936,5740,-6040,12218.072
1700,-9104,32767,6652,34652.68
1750,-29396,-32548,-32768,54747.043
1800,-16712,-14760,-19040,29320.133
1850,1296,11128,-5512,12485.758
1900,-116,-9940,-14084,17238.797
1950,2716,-9396,-13856,16960.254
2000,404,-8164,-13712,15963.491
2050,9488,-11068,-16956,22361.32
2100,12768,-11764,-17772,24844.666
2150,4416,-10048,-15836,19267.648
2200,5588,-7448,-14180,16963.81
2250,6480,-8000,-11840,15689.997
2300,1152,-2472,-10896,11232.128
2350,-1064,-156,-9292,9354.0205
2400,-328,-4440,-11936,12739.281
2450,4972,-15132,-18832,24664.598
2500,5980,-9844,-17340,20816.828
2550,5072,-10376,-16208,19901.904
2600,3456,-8276,-13888,16532.17
2650,640,-6316,-12592,14101.7705
2700,2152,-4912,-11520,12707.055
