Time(ms),AcX,AcY,AcZ,TotalAccel,ShakeCount
0,-4992,-2840,-8008,9854.63,287
50,-3064,-9092,-8720,12964.99,287
100,32767,2800,-8556,33981.19,288
150,28888,932,-12036,31308.95,288
200,10916,-8084,-7124,15338.24,289
250,2920,-4520,-6780,8655.93,289
300,-3936,-3144,-7444,8988.32,289
350,-9524,-3980,-7024,12485.33,289
400,6260,-10424,-8176,14652.45,289
450,32767,512,-13140,35307.2,290
500,23852,-2924,-11312,26559.91,290
550,7976,-4764,-7016,11642.02,290
600,984,-5340,-7256,9062.75,290
650,-3504,-2456,-7240,8409.97,290
700,-6872,-2548,-6356,9701.31,290
750,8260,-10588,-6628,14975.44,290
800,32767,8700,-12120,36003.62,291
850,19116,-3744,-9828,21818.08,291
900,5568,-5128,-5716,9485.34,291
950,-1308,-5588,-6100,8375.36,291
1000,-2848,-4252,-7120,8768.41,291
1050,-1684,-3580,-6292,7432.46,291
1100,6452,-8308,-7568,12958.62,291
1150,32767,8896,-11248,35767.76,292
1200,19716,-4408,-10236,22647.89,292
1250,10104,-5848,-6420,13323.15,292
1300,408,-6268,-6816,9268.88,292
1350,2980,-4252,-8336,9820.83,292
1400,-2484,-3948,-7680,8985.51,292
1450,-6880,-5548,-7824,11803.8,292
1500,32767,-3936,-3952,33238.33,293
1550,32767,8500,-14956,37008.22,293
1600,5252,-7384,-6484,11142.23,293
1650,-2992,-7092,-5780,9625.85,293
1700,-4828,-3572,-6312,8712.64,293
1750,-4928,-5956,-5872,9707.7,293
1800,-1492,-7180,-6328,9686.18,293
1850,32767,7436,-8884,34754.8,294
1900,30356,-2144,-11432,32508.06,294
1950,10652,-7772,-6204,14572.53,294
2000,480,-6040,-6144,8629.06,294
2050,-5316,-3540,-6940,9431.6,294
2100,-9008,-4660,-5808,11687.28,294
2150,5236,-9472,-5992,12370.87,294
2200,32767,15012,-10608,37570.81,295
2250,22452,-2056,-9800,24583.72,295
2300,3940,-7848,-5244,10228.11,295
2350,-3864,-5660,-5320,8675.74,295
2400,-10692,-2008,-5488,12184.79,295
2450,-10020,-7140,-4220,13007.24,295
2500,32767,228,-4812,33119.23,296
2550,32767,1040,-14988,36047.16,296
2600,9388,-9232,-8272,15549.61,296
2650,5524,-5268,-6500,10025.79,296
2700,2296,-4056,-7516,8843.81,296
2750,-3068,-3244,-7516,8742.22,296
2800,-4376,-5284,-6504,9453.68,296
2850,19772,-6416,-6524,21786.68,297
2900,32767,11716,-12576,37001.31,297
2950,12696,-6028,-7976,16159.88,297
3000,4532,-5332,-5128,8675.58,297
3050,-3204,-5388,-5996,8674.57,297
3100,-9620,-2988,-6028,11739.22,297
3150,-8472,-6188,-4660,11479.62,297
3200,32767,-8452,384,33841.69,298
3250,32767,3356,-14196,35867.33,298
3300,11380,-7120,-8404,15837.49,298
3350,4712,-5256,-5656,9045.37,298
3400,-4060,-5220,-6608,9348.67,298
3450,-7596,-4112,-6272,10674.54,298
3500,-6724,-7468,-5436,11425.12,298
3550,32767,3808,-5080,33376.39,299
3600,32767,1032,-11976,34902.23,299
3650,8120,-8588,-6756,13613.66,299
3700,-196,-5860,-4868,7620.72,299
3750,-8884,-3696,-5320,10994.92,299
3800,10756,-5372,-7352,14092.62,299
3850,23224,5200,-12100,26698.39,300
3900,20044,-2676,-12168,23600.49,300
3950,16020,-2692,-9864,19004.89,300
4000,16552,-6720,-8124,19624.64,300
4050,16888,-5940,-7884,19561.33,301
4100,14628,-604,-6116,15866.59,301
4150,10092,-9060,-5692,14708.19,301
4200,9520,-5256,-7692,13320.01,302
4250,21912,-4420,-9396,24247.82,303
4300,13988,-3208,-10604,17843.77,303
4350,13240,-4976,-8276,16387.51,303
4400,11464,-5972,-7856,15126.3,303
4450,12292,-5664,-8128,15787.29,304
4500,13232,-6072,-7752,16493.89,304
4550,14884,-5628,-8296,17945.23,304
4600,15588,-7520,-8280,19185.79,304
4650,14156,-8108,-9060,18660.54,304
4700,14616,-5508,-9196,18125.45,304
4750,14684,-6584,-8368,18138.15,304
4800,11172,-4280,-7964,14372.1,304
4850,8260,-3768,-7596,11837.43,304
4900,11072,-9124,-8544,16698.4,305
4950,32767,-4140,-7312,33827.23,305
5000,26600,896,-10812,28727.38,305
5050,15340,-2520,-8116,17536.69,305
5100,5620,-2424,-8052,10114.09,305
5150,1816,-3944,-7544,8704.3,305
5200,-3456,-672,-6600,7480.34,305
5250,-8004,-6796,-6264,12226.5,305
5300,32767,-3064,-9384,34221.69,306
5350,19396,-4684,-15172,25066.6,306
5400,6540,-8684,-9520,14450.39,306
5450,6652,-5656,-9528,12923.71,306
5500,7316,-6464,-10384,14252.53,306
5550,5500,-3236,-8256,10434.71,306
5600,-32768,-4076,2344,33103.62,307
5650,32767,-32768,3868,46501.39,308
5700,32767,-1080,-19848,38324.74,308
5750,5600,-5072,-10316,12786.91,308
5800,4440,-5916,-6060,9562.23,308
5850,8052,-5428,-10936,14625.12,308
5900,7236,-6852,-8832,13315.92,308
5950,7872,-5608,-9480,13538.41,308
6000,20728,-4664,-12124,24462.1,309
6050,21108,-4024,-13600,25430.3,309
6100,15892,-5444,-11720,20482.95,309
6150,14816,-5208,-11280,19335.86,309
6200,13228,-5328,-10208,17537.7,309
6250,7780,-4912,-8028,12210.85,309
6300,-27556,-6216,-3168,28425.48,310
6350,17524,10500,6592,21466.14,311
6400,32767,21320,-17072,42657.61,311
6450,13756,-4852,-13524,19891.41,311
6500,11220,-5620,-6376,14075.73,311
6550,7152,-6220,-7440,12049.61,311
6600,8132,-6160,-9540,13967.34,311
6650,7308,-5268,-8964,12708.74,311
6700,6836,-4792,-9044,12308.05,311
6750,21604,-4940,-11024,24752.07,312
6800,24324,-3372,-14076,28304.79,312
6850,17992,-5068,-12284,22367.24,312
6900,14768,-5480,-9564,18428.09,312
6950,5280,-5404,-7120,10381.52,312
7000,-3092,-4524,-5568,7812.15,312
7050,-32768,-5760,2920,33398.29,313
7100,32767,-14080,-1184,35683.67,314
7150,32767,-2568,-17724,37341.81,314
7200,6748,-7404,-8916,13410.81,314
7250,8336,-7152,-4428,11842.6,314
